Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Bengkulu,2014,68.06,,320.95,,,1876.48,,92.31,71.7,,
Lampung,2014,66.42,,1142.92,,,1750.15,,89.85,71.62,,
Kepulauan Bangka Belitung,2014,68.27,,71.64,,,1812.78,,94.63,75.32,,
Kepulauan Riau,2014,73.4,,127.8,,,1860.85,,89.18,68.39,,
Dki Jakarta,2014,78.39,,393.98,,,1918.19,,99.94,84.7,,
Jawa Barat,2014,68.8,,4327.07,,,1864.94,,99.34,71.52,,
Jawa Tengah,2014,68.78,,4836.45,,,1846.01,,99.66,77.44,,
Daerah Istimewa Yogyakarta,2014,76.81,,544.87,,,1968.87,,99.58,82.71,,
Jawa Timur,2014,68.14,,4786.79,,,1869.74,,98.77,70.36,,
Banten,2014,69.89,,622.84,,,1895.36,,99.49,75.5,,
Bali,2014,72.48,,185.2,,,2079.54,,99.41,76.13,,
Nusa Tenggara Barat,2014,64.31,,820.82,,,1950.10,,97.92,62.62,,
Nusa Tenggara Timur,2014,62.26,,994.67,,,1701.94,,65.47,68.81,,
Kalimantan Barat,2014,64.89,,401.51,,,1822.28,,76.08,80.58,,
Kalimantan Tengah,2014,67.77,,146.32,,,1900.10,,73.74,79,,
Kalimantan Selatan,2014,67.63,,182.88,,,1966.66,,94.61,70.84,,
Kalimantan Timur,2014,73.82,,253.6,,,1632.88,,85.20,77.77,,
Kalimantan Utara,2014,68.64,,,,,,,,,,
Sulawesi Utara,2014,69.96,,208.23,,,1918.04,,97.88,83.94,,
Sulawesi Tengah,2014,66.43,,392.65,,,1825.40,,82.99,74.36,,
Sulawesi Selatan,2014,68.49,,864.3,,,1896.03,,92.83,75.3,,
Sulawesi Tenggara,2014,68.07,,342.25,,,1829.50,,82.56,70.13,,
Gorontalo,2014,65.17,,194.17,,,1856.27,,88.10,73.82,,
Sulawesi Barat,2014,62.24,,153.89,,,1900.87,,62.99,76.69,,
Maluku,2014,66.74,,316.11,,,1714.28,,79.90,72.72,,
Maluku Utara,2014,65.18,,82.64,,,1663.56,,74.36,67.9,,
Papua Barat,2014,61.28,,229.43,,,1637.37,,68.72,65.65,,
Papua,2014,56.75,,924.4,,,1667.36,,35.90,62.15,,
Aceh,2015,69.45,9.32,851.59,80.89,29.82,1989.61,99.44,97.48,67.78,51.5,
Sumatera Utara,2015,69.51,9.34,1463.67,65.77,29.15,2010.98,99.55,94.26,69.01,52.87,
Sumatera Barat,2015,69.98,8.85,379.61,75.73,32.41,2091.49,99.67,92.60,67.46,57.04,
Riau,2015,70.84,8.89,531.39,74.38,31.21,2061.26,99.64,78.06,65.83,62.1,
Jambi,2015,68.89,8.43,300.71,89.61,30.82,1986.49,99.4,87.37,70.68,58.68,
Sumatera Selatan,2015,67.46,8.26,1145.63,85.85,33.13,2062.86,99.39,90.58,79.81,53.66,
Bengkulu,2015,68.59,8.74,334.07,87.92,33.68,2072.90,99.18,93.62,73.6,55.86,
Lampung,2015,66.95,8.01,1163.49,82.64,34.12,1933.47,99.1,91.30,65.95,52.73,
Kepulauan Bangka Belitung,2015,69.05,7.83,74.09,93.43,30.7,2074.55,97.98,96.50,72.31,61.81,
Kepulauan Riau,2015,73.75,9.85,122.4,94.48,29.18,2091.16,99.01,92.24,70.26,74.17,
Dki Jakarta,2015,78.99,10.9,398.92,94.72,27.31,1948.93,99.62,99.40,85.32,76.93,
Jawa Barat,2015,69.5,8.31,4435.7,78.06,33.82,2044.29,99.62,99.09,73.04,59.5,
Jawa Tengah,2015,69.49,7.57,4577.04,91.23,28.57,1936.26,97.4,99.51,69.75,54.97,
Daerah Istimewa Yogyakarta,2015,77.59,9.59,550.23,95.98,24.12,1939.53,98.39,99.70,83.19,64.79,
Jawa Timur,2015,68.95,7.71,4789.12,84.31,29.03,1927.96,96.06,98.86,76.9,55.29,
Banten,2015,70.27,8.7,702.4,70.48,32.95,2067.41,98.4,98.72,68.46,60.49,
Bali,2015,73.27,8.8,196.71,81.51,22.96,2183.09,96.04,99.49,79.83,63.77,
Nusa Tenggara Barat,2015,65.19,7.51,823.89,68.34,31.6,2006.52,92.21,97.74,65.08,45.26,
Nusa Tenggara Timur,2015,62.67,7.4,1159.84,53.51,25.47,1775.22,94.87,64.11,78.47,36.65,
Kalimantan Barat,2015,65.59,7.41,383.7,79.61,29.35,1935.91,95.28,78.19,76.4,51.89,
Kalimantan Tengah,2015,68.53,8.4,147.7,78.9,30.53,2073.94,99.47,77.81,73.46,63.29,
Kalimantan Selatan,2015,68.38,8.14,198.44,84.18,25.76,2119.95,99.41,95.62,74.76,62.74,
Kalimantan Timur,2015,74.17,9.52,212.89,92.66,25.59,1868.19,99.19,87.55,81.24,74.43,
Kalimantan Utara,2015,68.76,8.67,39.69,88.8,28.61,1720.20,96.74,85.58,80.16,67.48,
Sulawesi Utara,2015,70.39,9.19,208.54,84.32,29.31,2041.87,99.88,96.89,79.4,59.45,
Sulawesi Tengah,2015,66.76,8.35,421.62,67.02,32.56,1985.74,98.9,84.39,76.67,50.64,
Sulawesi Selatan,2015,69.15,8.2,797.72,83.92,25.49,1995.00,95.31,93.24,67.9,56.21,
Sulawesi Tenggara,2015,68.75,8.74,321.88,75.09,28.49,1992.91,97.28,85.19,69.44,54.84,
Gorontalo,2015,65.86,7.58,206.84,83.98,33.93,2068.46,99.36,88.61,76.77,51.34,
Sulawesi Barat,2015,62.96,7.49,160.48,79.86,28.29,1980.70,94.23,68.43,68.25,42.56,
Maluku,2015,67.05,9.54,328.41,71.3,27.19,1760.56,99.35,81.41,65.9,47.98,
Maluku Utara,2015,65.91,8.81,79.9,71.7,31.14,1688.34,99.14,76.60,61.52,45.08,
Papua Barat,2015,61.73,9.47,225.36,67.28,29.28,1832.98,97.66,75.95,59.97,55.44,
Papua,2015,57.25,6.27,859.15,38.6,26.67,1807.66,70.68,39.16,57.55,32.04,
Aceh,2016,70,9.36,848.44,82.18,28.16,2021.08,99.43,97.88,72.48,52.97,
Sumatera Utara,2016,70,9.46,1455.95,69.97,27.88,1999.99,99.64,95.20,67.37,54.28,
Sumatera Barat,2016,70.73,8.97,371.56,76.98,30.59,2162.82,99.84,94.78,54.41,57.94,
Riau,2016,71.2,8.97,515.4,76.61,29.61,2033.47,99.78,82.75,71.89,62.98,
Jambi,2016,69.62,8.55,289.8,89.95,29.18,1988.23,99.53,89.91,68.89,58.49,
Sumatera Selatan,2016,68.24,8.32,1101.19,88.16,31.57,2029.93,99.47,91.92,80.95,56.48,
Bengkulu,2016,69.33,8.82,328.61,86.47,33.15,2099.87,99.33,94.78,74.23,55.84,
Lampung,2016,67.65,8.1,1169.6,85.14,33.39,1952.08,99.39,91.90,61,55.07,
